,hour,longitude,latitude,value
201,0,116.5642,40.0403,52
202,0,116.3633,39.9373,52
203,0,116.5519,40.0359,51
204,0,116.5061,39.9169,51
205,0,116.4342,39.9051,51
206,0,116.3166,39.8691,51
207,0,116.3319,40.0707,51
208,0,116.2905,39.867,51
209,0,116.4804,39.9845,51
210,0,117.306,31.7502,51
211,0,116.2866,39.8942,51
212,0,116.3342,39.9461,51
213,0,116.3128,39.9549,51
214,0,116.4329,40.0235,51
215,0,116.3883,39.966,51
216,0,116.6131,40.0334,50
217,0,116.5702,40.0393,50
218,0,116.3044,39.8898,50
219,0,116.5943,40.0752,50
220,0,116.3231,39.9586,50
221,0,112.9739,28.2313,50
222,0,116.2882,39.8841,50
223,0,125.1623,42.9045,50
224,0,116.4525,39.8933,49
225,0,116.275,39.8756,49
226,0,116.3572,39.9136,49
227,0,116.4328,39.8796,49
228,0,116.3329,40.0694,49
229,0,116.5367,40.0217,49
230,0,116.4114,39.8647,49
231,0,116.4644,39.9167,48
232,0,116.6311,40.0419,48
233,0,116.3228,39.9068,48
234,0,116.3797,39.9742,48
235,0,116.2842,39.9132,48
236,0,116.2819,39.9295,48
237,0,116.4467,39.9596,47
238,0,116.3263,39.9968,47
239,0,116.5917,40.0759,47
240,0,116.3272,39.895,47
241,0,116.3739,40.0244,47
242,0,116.3168,39.9795,47
243,0,116.3657,39.9869,47
244,0,116.4843,39.9806,46
245,0,116.2861,39.9222,46
246,0,119.5497,39.9035,46
247,0,116.3335,39.9092,46
248,0,119.5512,39.9219,46
249,0,116.4369,39.9823,46
250,0,116.3144,40.0825,46
251,0,116.6176,40.0403,46
252,0,116.3167,39.9177,45
253,0,117.0052,36.6316,45
254,0,116.4417,39.863,45
255,0,116.3817,39.915,45
256,0,116.3758,39.8413,45
257,0,116.3466,39.8998,45
258,0,116.4432,39.9875,45
259,0,116.5903,40.0805,45
260,0,116.274,39.9017,45
261,0,116.3762,39.8729,45
262,0,116.6213,40.0483,45
263,0,116.4694,39.9665,45
264,0,116.4444,39.8778,45
265,0,116.4899,39.9093,45
266,0,116.4152,40.0431,44
267,0,119.5653,39.9659,44
268,0,116.2845,39.8737,44
269,0,116.3306,39.9829,44
270,0,116.5874,40.0717,44
271,0,116.5929,40.0683,44
272,0,116.3611,39.9968,43
273,0,116.2796,39.9538,43
274,0,113.9342,22.5111,43
275,0,116.3848,39.9048,43
276,0,116.3649,39.9301,43
277,0,116.3576,39.8695,43
278,0,116.365,39.9708,43
279,0,116.4135,40.0308,43
280,0,116.4893,39.9354,43
281,0,116.3781,39.8577,43
282,0,116.2405,39.9058,43
283,0,121.445,31.3968,43
284,0,116.4598,39.8715,43
285,0,108.7675,34.4411,43
286,0,116.3872,39.9048,42
287,0,114.1559,22.5656,42
288,0,116.6119,40.034,42
289,0,116.3767,39.877,42
290,0,116.3082,39.9871,42
291,0,116.4116,39.876,42
292,0,116.3727,39.998,42
293,0,116.2414,39.863,42
294,0,116.4846,39.9141,42
295,0,116.2676,39.9065,42
296,0,116.331,39.9581,42
297,0,113.6554,34.7304,42
298,0,116.4289,39.983,42
299,0,116.3382,39.9014,42
300,0,124.4012,40.1465,42
301,0,116.3486,39.8424,41
302,0,116.3418,39.9399,41
303,0,116.4137,39.9172,41
304,0,116.6016,39.9187,41
305,0,116.4283,39.9089,41
306,0,120.8322,32.0371,41
307,0,116.3222,39.883,41
308,0,116.4108,40.0043,41
309,0,116.5143,39.9167,41
310,0,116.1992,39.9298,41
311,0,116.4591,40.0182,41
312,0,116.4333,39.9599,41
313,0,116.273,39.8826,41
314,0,116.5589,39.9191,41
