,hour,longitude,latitude,value,,,,,,
140,0,116.386,39.9501,37.88,,,,,,
141,0,116.3594,39.9143,32.8,,,,,,
142,0,116.3683,39.8818,16.33,,,,,,
143,0,116.3081,40.0503,10,,,,,,
144,0,116.3214,39.8869,10.2,,,,,,
145,0,116.418,40.0287,9,,,,,,
146,0,116.3171,40.0325,11,,,,,,
147,0,116.3168,39.9029,55.5,,,,,,
148,0,116.4407,39.8869,144,,,,,,
149,0,116.2765,39.8899,25,,,,,,
150,0,116.3022,39.9797,8,,,,,,
151,0,116.3324,39.7792,8,,,,,,
152,0,116.3105,39.9511,33,,,,,,
153,0,116.446,39.9557,85.75,,,,,,
154,0,116.485,39.9287,19,,,,,,
155,0,116.6212,40.0623,24.29,,,,,,
156,0,116.6475,39.9359,7,,,,,,
157,0,116.6407,40.327,60,,,,,,
158,0,116.3443,39.7591,25,,,,,,
159,0,116.3699,39.778,21,,,,,,
160,0,116.1628,39.8235,8,,,,,,
161,0,116.366,39.9266,20,,,,,,
162,0,116.1771,39.9461,15,,,,,,
163,0,116.7075,39.8761,135,,,,,,
164,0,116.2238,39.9851,16,,,,,,
165,0,116.7967,39.6738,70,,,,,,
166,0,116.5016,39.9404,27.5,,,,,,
167,0,116.4434,39.8717,7,,,,,,
168,0,116.282,39.9427,14,,,,,,
169,0,116.4672,39.9326,33.83,,,,,,
170,0,116.2672,40.1352,9,,,,,,
171,0,116.3436,39.8905,11.67,,,,,,
172,0,116.3514,40.0657,44.25,,,,,,
173,0,116.6899,39.8795,22.33,,,,,,
174,0,116.4912,39.9968,28.86,,,,,,
175,0,116.3622,39.948,61.33,,,,,,
176,0,116.3937,39.996,25.5,,,,,,
177,0,116.3281,39.8752,12,,,,,,
178,0,116.4817,39.8985,40.5,,,,,,
179,0,116.5386,39.799,29,,,,,,
180,0,116.332,39.959,48.21,,,,,,
181,0,116.5058,39.9814,18.67,,,,,,
182,0,116.4704,39.9763,90,,,,,,
183,0,116.3575,40.006,7.5,,,,,,
184,0,116.5118,39.799,7.2,,,,,,
185,0,116.8761,40.3918,10.8,,,,,,
186,0,116.3825,39.9155,28.54,,,,,,
187,0,116.3611,39.9717,10.5,,,,,,
188,0,116.2853,40.1038,12,,,,,,
189,0,116.4813,39.9436,10,,,,,,
190,0,116.6642,39.8957,23,,,,,,
191,0,116.376,39.866,55,,,,,,
192,0,116.3558,40.0417,7,,,,,,
193,0,116.333,39.8844,89,,,,,,
194,0,116.2598,40.0491,7,,,,,,
195,0,116.3547,39.8792,19.5,,,,,,
196,0,116.6527,39.8874,15,,,,,,
197,0,116.2935,39.896,36,,,,,,
198,0,116.3931,39.8584,8,,,,,,
199,0,116.4282,39.8705,16,,,,,,
200,0,116.4405,39.9286,63.75,,,,,,
201,0,116.3597,40.0314,15,,,,,,
202,0,116.3584,39.9824,23.3,,,,,,
203,0,116.3956,39.8457,121,,,,,,
204,0,116.5629,39.9696,11,,,,,,
205,0,116.3032,40.0381,9.5,,,,,,
206,0,116.864,40.3983,19,,,,,,
207,0,116.8484,40.3788,11.4,,,,,,
208,0,116.7074,39.8611,8,,,,,,
209,0,116.4565,39.9198,32.75,,,,,,
210,0,116.3008,39.9139,16.5,,,,,,
211,0,116.5196,39.9362,51.6,,,,,,
212,0,116.401,39.8872,107,,,,,,
213,0,116.4995,39.7668,9.5,,,,,,
214,0,116.2562,40.0146,17,,,,,,
215,0,116.4425,39.9771,30.4,,,,,,
216,0,116.496,39.8926,13,,,,,,
217,0,116.6347,40.3134,8,,,,,,
218,0,116.4303,40.0006,8,,,,,,
219,0,116.3165,39.8661,10,,,,,,
220,0,116.3332,39.8551,15,,,,,,
221,0,116.3165,40.0586,14.77,,,,,,
222,0,116.3585,40.0218,14.8,,,,,,
223,0,116.2872,39.9175,15.75,,,,,,
224,0,116.3691,40.0742,17.5,,,,,,
225,0,116.3753,39.8021,8,,,,,,
226,0,116.2784,39.8262,19.67,,,,,,
227,0,116.515,40.0387,15,,,,,,
228,0,116.4103,39.964,31,,,,,,
229,0,116.6564,40.1276,44,,,,,,
230,0,116.6646,39.9079,47,,,,,,
231,0,116.6063,39.9209,9,,,,,,
232,0,116.8535,40.3704,15,,,,,,
233,0,116.605,39.908,39,,,,,,
234,0,116.5371,39.9687,13,,,,,,
235,0,116.3184,39.9619,24,,,,,,
236,0,116.4395,40.0795,23,,,,,,
237,0,116.4556,39.9288,42,,,,,,
238,0,116.2601,39.8818,17,,,,,,
239,0,116.5975,40.0643,100,,,,,,
240,0,116.3623,39.9612,62.71,,,,,,
241,0,116.4027,39.9396,83.38,,,,,,
242,0,116.3774,39.9056,47.62,,,,,,
243,0,116.6948,39.9232,49,,,,,,
244,0,116.4985,39.97,12,,,,,,
245,0,116.323,39.9517,34,,,,,,
246,0,116.4712,39.8318,49,,,,,,
247,0,116.4793,39.9978,12,,,,,,
248,0,116.2709,39.9164,9,,,,,,
249,0,116.3738,39.8452,11,,,,,,
250,0,116.6198,39.933,14,,,,,,
251,0,116.243,39.9552,8,,,,,,
252,0,116.6686,39.8723,44,,,,,,
253,0,116.3142,39.9192,25,,,,,,
254,0,116.4163,39.9306,28,,,,,,
255,0,116.5026,39.9903,15.5,,,,,,
256,0,116.6788,39.8936,8.5,,,,,,
257,0,116.4047,39.9551,38.57,,,,,,
258,0,116.4857,39.8084,16.25,,,,,,
259,0,116.4265,39.9036,38.88,,,,,,
260,0,116.2873,39.9623,26.75,,,,,,
261,0,116.5557,39.9184,38,,,,,,
262,0,116.2741,40.0408,6,,,,,,
263,0,116.5223,39.914,88.67,,,,,,
264,0,116.3215,39.9854,22.42,,,,,,
265,0,116.345,40.0862,25.6,,,,,,
266,0,116.5083,39.9322,65,,,,,,
267,0,116.324,39.9301,10,,,,,,
268,0,116.3529,39.7919,19,,,,,,
269,0,116.4424,39.8997,39,,,,,,
270,0,116.3201,40.0427,16.88,,,,,,
271,0,116.411,39.9473,63,,,,,,
272,1,116.3999,39.989,68,,30.3584507,,,,
273,1,116.8422,40.394,8,,,,,,
274,1,116.4054,39.8613,29,,,,,,
275,1,116.2118,39.9486,12,,,,,,
276,1,116.2623,40.0119,32,,,,,,
277,1,116.3283,39.7428,117,,,,,,
278,1,116.5044,39.797,21.6,,,,,,
279,1,116.4408,39.8877,9,,,,,,
280,1,116.4822,39.8061,18.33,,,,,,
281,1,116.3858,39.9564,19,,,,,,
282,1,116.4964,39.9883,38.5,,,,,,
283,1,116.5184,39.7952,44,,,,,,
284,1,116.6683,39.8709,16,,,,,,
285,1,116.3158,40.0695,15,,,,,,
286,1,116.3531,39.8032,15,,,,,,
287,1,116.4167,39.9911,17,,,,,,
288,1,116.316,39.8631,54,,,,,,
289,1,116.3138,39.971,71,,,,,,
290,1,116.4029,39.8199,45,,,,,,
291,1,116.3077,39.9435,7.5,,,,,,
292,1,116.4786,39.961,27,,,,,,
293,1,116.4795,39.9092,17.3,,,,,,
294,1,116.581,40.0702,158,,,,,,
295,1,116.4607,39.9432,43,,,,,,
296,1,116.5452,39.9182,32,,,,,,
297,1,116.3446,39.8913,16,,,,,,
298,1,116.512,39.9213,13,,,,,,
299,1,116.5594,39.9296,72,,,,,,
300,1,116.463,39.9144,28.18,,,,,,
301,1,116.1985,39.9432,7,,,,,,
302,1,116.3043,40.0403,19.5,,,,,,
303,1,116.488,40.0017,43.38,,,,,,
304,1,116.6569,39.8769,22.5,,,,,,
305,1,116.2817,39.923,12,,,,,,
306,1,116.8562,40.3954,7,,,,,,
307,1,116.3643,39.8912,145,,,,,,
308,1,116.2378,39.8788,14,,,,,,
309,1,116.3525,39.9186,15,,,,,,
310,1,116.3205,39.7557,51,,,,,,
311,1,116.6012,40.0905,24.18,,,,,,
312,1,116.3855,39.983,24.4,,,,,,
313,1,116.622,40.0587,26.5,,,,,,
314,1,116.6561,39.9088,64,,,,,,
315,1,116.2489,40.0773,15,,,,,,
316,1,116.7078,39.8907,20,,,,,,
317,1,116.3141,40.0524,7.5,,,,,,
318,1,116.2937,39.9672,59,,,,,,
319,1,116.4877,39.723,20,,,,,,
320,1,116.3014,39.9799,24,,,,,,
321,1,116.5083,39.9322,33.5,,,,,,
322,1,116.3684,39.9235,8.67,,,,,,
323,1,116.6806,39.8967,74,,,,,,
324,1,116.351,39.9428,69,,,,,,
325,1,116.4232,39.9467,34.89,,,,,,
326,1,116.3414,39.9696,11.75,,,,,,
327,1,116.4742,40.0161,43.75,,,,,,
328,1,116.4512,40.0908,36,,,,,,
329,1,116.6882,39.8874,15,,,,,,
330,1,116.3471,40.0033,6,,,,,,
331,1,116.3655,39.9407,12.5,,,,,,
332,1,116.304,39.9192,18,,,,,,
333,1,116.6495,39.8988,94,,,,,,
334,1,116.3281,40.0254,15,,,,,,
335,1,116.4619,39.9333,30.25,,,,,,
336,1,116.3717,39.8459,22.25,,,,,,
337,1,116.4696,39.9548,32.4,,,,,,
338,1,116.4435,39.9777,30.33,,,,,,
339,1,116.2781,40.0407,11,,,,,,
340,1,116.6718,39.8829,50,,,,,,
341,1,116.6729,40.3699,9,,,,,,
342,1,116.8178,40.3685,10,,,,,,
343,1,116.3161,39.9164,43.67,,,,,,
344,1,116.4239,40.1861,146,,,,,,
345,1,116.4475,39.928,48,,,,,,
346,1,116.4316,39.9217,43.6,,,,,,
347,1,116.2911,39.9385,52,,,,,,
348,1,116.1977,39.9212,44.5,,,,,,
349,1,116.3718,39.9635,7.5,,,,,,
350,1,116.4184,39.9213,11.5,,,,,,
351,1,116.3865,39.9706,8,,,,,,
352,1,116.2464,39.9096,13,,,,,,
353,1,116.2119,39.9153,10,,,,,,
354,1,116.521,39.9378,20,,,,,,
355,1,116.409,39.914,39.5,,,,,,
356,1,116.455,39.8989,12.5,,,,,,
357,1,116.7229,39.8578,81,,,,,,
358,1,116.5676,40.0757,130,,,,,,
359,1,116.3016,39.879,26,,,,,,
360,1,116.612,39.9322,6,,,,,,
361,1,116.4549,39.9571,24,,,,,,
362,1,116.6356,39.9122,32,,,,,,
363,1,116.4199,39.8561,29,,,,,,
364,1,116.2956,40.0578,6,,,,,,
365,1,116.284,39.875,10,,,,,,
366,1,116.4432,39.9119,63.4,,,,,,
367,1,116.3952,40.0058,11,,,,,,
368,1,116.4255,39.9125,14.33,,,,,,
369,1,116.4233,40.0012,16,,,,,,
370,1,116.3109,39.9304,22,,,,,,
371,1,116.4151,39.8699,9,,,,,,
372,1,116.4175,39.8965,8,,,,,,
373,1,116.381,39.9034,62,,,,,,
374,1,116.5274,39.928,9,,,,,,
375,1,116.3461,39.7416,18,,,,,,
376,1,116.3653,40.0075,15,,,,,,
377,1,116.4905,39.9375,40.6,,,,,,
378,1,116.4227,39.9569,31,,,,,,
379,1,116.4641,40.003,42.38,,,,,,
380,1,116.3578,39.882,7,,,,,,
381,1,116.5112,39.9431,8,,,,,,
382,1,116.5936,40.1034,39,,,,,,
383,1,116.4283,39.7431,13,,,,,,
384,1,116.4658,39.9243,25.12,,,,,,
385,1,116.7325,39.9566,30,,,,,,
386,1,116.4325,39.8558,153,,,,,,
387,1,116.5833,39.9152,12.33,,,,,,
388,1,116.2645,39.9525,82,,,,,,
389,1,116.2988,39.9308,11,,,,,,
390,1,116.2283,39.9083,8.5,,,,,,
391,1,116.4018,39.9471,26.22,,,,,,
392,1,116.4964,39.9773,33.33,,,,,,
393,1,116.3042,39.7913,24,,,,,,
394,1,116.3041,40.1014,8,,,,,,
395,1,116.5076,39.9942,30.17,,,,,,
396,1,116.3834,40.0671,23,,,,,,
397,1,116.2489,40.1681,19,,,,,,
398,1,116.3857,39.9135,16.25,,,,,,
399,1,116.5188,40.0426,15,,,,,,
400,1,116.5131,39.9693,19,,,,,,
401,1,116.469,40.0267,14,,,,,,
402,1,116.3911,39.8407,72,,,,,,
403,1,116.3464,39.8131,15,,,,,,
404,1,116.3124,39.9834,14.21,,,,,,
405,1,116.572,40.1054,32,,,,,,
406,1,116.4144,39.9715,27.5,,,,,,
407,1,116.3346,39.9432,5,,,,,,
408,1,116.2934,39.8959,78,,,,,,
409,1,116.2813,39.9678,19,,,,,,
410,1,116.3557,40.0537,7,,,,,,
411,1,116.4175,39.9324,21.5,,,,,,
412,1,116.5525,39.764,7,,,,,,
413,1,116.1906,39.738,15,,,,,,
414,1,116.4009,39.9681,20,,,,,,
415,1,116.3732,40.0233,18,,,,,,
416,1,116.6623,39.8996,73.5,,,,,,
417,1,116.6689,39.911,89,,,,,,
418,1,116.4042,40.012,37.2,,,,,,
419,1,116.4763,39.8947,45,,,,,,
420,1,116.5727,39.908,13,,,,,,
421,1,116.343,40.0362,40.33,,,,,,
422,1,116.1996,39.9316,8,,,,,,
423,1,116.3211,40.0426,7.67,,,,,,
424,1,116.2917,39.832,8,,,,,,
425,1,116.6511,39.9228,25.5,,,,,,
426,1,116.3545,39.9557,11.67,,,,,,
427,1,116.5635,39.826,12,,,,,,
428,1,116.2711,39.9125,11,,,,,,
429,1,116.4119,40.0571,5,,,,,,
430,1,116.5271,39.9733,26,,,,,,
431,1,116.3569,40.0143,20.17,,,,,,
432,1,116.3716,39.9124,23,,,,,,
433,1,116.8738,40.3835,7.38,,,,,,
434,1,116.3398,40.0501,14,,,,,,
435,1,116.2344,40.2184,33,,,,,,
436,1,116.6403,40.3255,45.33,,,,,,
437,1,116.4039,39.9566,53,,,,,,
438,1,116.3321,39.779,6.5,,,,,,
439,1,116.2896,40.0354,19,,,,,,
440,1,116.4829,39.8733,6,,,,,,
441,1,116.2879,39.9475,50.5,,,,,,
442,1,116.3172,40.0328,111.5,,,,,,
443,1,116.297,39.8445,30.5,,,,,,
444,1,116.4694,39.8734,28,,,,,,
445,1,116.4545,39.9668,29,,,,,,
446,1,116.2672,39.9287,15,,,,,,
447,1,116.4433,39.8975,43.6,,,,,,
448,1,116.6301,40.3055,42,,,,,,
449,1,116.4182,40.0124,13,,,,,,
450,1,116.4021,39.9057,12,,,,,,
451,1,116.4039,39.8019,15.1,,,,,,
452,1,116.3398,39.992,14,,,,,,
453,1,116.8306,40.3772,8,,,,,,
454,1,116.619,40.0724,12,,,,,,
455,1,116.4295,40.0096,55.75,,,,,,
456,1,116.4388,39.9599,55,,,,,,
457,1,116.3777,40.0843,7,,,,,,
458,1,116.331,39.957,9.2,,,,,,
459,1,116.329,39.9816,18.67,,,,,,
460,1,116.4668,39.9047,33.5,,,,,,
461,1,116.4636,39.8011,7,,,,,,
462,1,116.4997,39.912,11,,,,,,
463,1,116.4397,39.9408,35.93,,,,,,
464,1,116.5232,39.9125,18,,,,,,
465,1,116.1474,39.7558,27,,,,,,
466,1,116.3941,39.8715,9,,,,,,
467,1,116.372,39.9793,9.5,,,,,,
468,1,116.6177,40.1031,11,,,,,,
469,1,116.4993,39.9212,32.5,,,,,,
470,1,116.8522,40.3788,11.5,,,,,,
471,1,116.328,39.902,7,,,,,,
472,1,116.4499,39.8581,14,,,,,,
473,1,116.5125,40.0888,13,,,,,,
474,1,116.526,39.786,99,,,,,,
