,hour,longitude,latitude,value,,,,
73,0,116.3022,39.9675,38,,,,"{name: '73',value: [116.3022,39.9675,38]},"
74,0,116.4912,39.9968,161,,,,"{name: '74',value: [116.4912,39.9968,161]},"
75,0,116.5146,39.9633,9,,,,"{name: '75',value: [116.5146,39.9633,9]},"
76,0,116.3683,39.8818,13,,,,"{name: '76',value: [116.3683,39.8818,13]},"
77,0,116.3281,39.8752,8,,,,"{name: '77',value: [116.3281,39.8752,8]},"
78,0,116.3332,39.8551,13,,,,"{name: '78',value: [116.3332,39.8551,13]},"
79,0,116.411,39.9473,18,,,,"{name: '79',value: [116.411,39.9473,18]},"
80,0,116.282,39.9427,4,,,,"{name: '80',value: [116.282,39.9427,4]},"
81,0,116.564,40.0625,9,,,,"{name: '81',value: [116.564,40.0625,9]},"
82,0,116.364,39.8519,14,,,,"{name: '82',value: [116.364,39.8519,14]},"
83,0,116.2873,39.9623,30,,,,"{name: '83',value: [116.2873,39.9623,30]},"
84,0,116.401,39.8872,16,,,,"{name: '84',value: [116.401,39.8872,16]},"
85,0,116.6407,40.327,22,,,,"{name: '85',value: [116.6407,40.327,22]},"
86,0,116.1905,39.9139,9,,,,"{name: '86',value: [116.1905,39.9139,9]},"
87,0,116.5557,39.8233,17,,,,"{name: '87',value: [116.5557,39.8233,17]},"
88,0,116.8761,40.3918,69,,,,"{name: '88',value: [116.8761,40.3918,69]},"
89,0,116.6212,40.0623,262,,,,"{name: '89',value: [116.6212,40.0623,262]},"
90,0,116.4241,40.0089,61,,,,"{name: '90',value: [116.4241,40.0089,61]},"
91,0,116.3526,40.0776,17,,,,"{name: '91',value: [116.3526,40.0776,17]},"
92,0,116.3184,39.9619,6,,,,"{name: '92',value: [116.3184,39.9619,6]},"
93,0,116.5218,39.8592,4,,,,"{name: '93',value: [116.5218,39.8592,4]},"
94,0,116.5327,40.0191,8,,,,"{name: '94',value: [116.5327,40.0191,8]},"
95,0,116.2941,39.8366,4,,,,"{name: '95',value: [116.2941,39.8366,4]},"
96,0,116.2878,39.9528,24,,,,"{name: '96',value: [116.2878,39.9528,24]},"
97,0,116.5058,39.9814,34,,,,"{name: '97',value: [116.5058,39.9814,34]},"
98,0,116.6475,39.9359,18,,,,"{name: '98',value: [116.6475,39.9359,18]},"
99,0,116.3315,39.7932,5,,,,"{name: '99',value: [116.3315,39.7932,5]},"
100,0,116.3937,39.996,50,,,,"{name: '100',value: [116.3937,39.996,50]},"
101,0,116.3247,40.0216,18,,,,"{name: '101',value: [116.3247,40.0216,18]},"
102,0,116.345,39.7483,38,,,,"{name: '102',value: [116.345,39.7483,38]},"
103,0,116.2195,39.9033,4,,,,"{name: '103',value: [116.2195,39.9033,4]},"
104,0,116.3597,40.0314,4,,,,"{name: '104',value: [116.3597,40.0314,4]},"
105,0,116.2668,39.7689,4,,,,"{name: '105',value: [116.2668,39.7689,4]},"
106,0,116.4857,39.8084,18,,,,"{name: '106',value: [116.4857,39.8084,18]},"
107,0,116.688,40.3534,12,,,,"{name: '107',value: [116.688,40.3534,12]},"
108,0,116.419,39.8957,10,,,,"{name: '108',value: [116.419,39.8957,10]},"
109,0,116.4508,39.8181,4,,,,"{name: '109',value: [116.4508,39.8181,4]},"
110,0,116.4143,39.9144,350,,,,"{name: '110',value: [116.4143,39.9144,350]},"
111,0,116.6371,39.8799,8,,,,"{name: '111',value: [116.6371,39.8799,8]},"
112,0,116.3006,39.8638,13,,,,"{name: '112',value: [116.3006,39.8638,13]},"
113,0,116.487,39.88,26,,,,"{name: '113',value: [116.487,39.88,26]},"
114,0,116.2874,39.9037,9,,,,"{name: '114',value: [116.2874,39.9037,9]},"
115,0,116.3168,39.9029,22,,,,"{name: '115',value: [116.3168,39.9029,22]},"
116,0,116.4354,40.0116,38,,,,"{name: '116',value: [116.4354,40.0116,38]},"
117,0,116.2428,39.9098,6,,,,"{name: '117',value: [116.2428,39.9098,6]},"
118,0,116.4672,39.9326,240,,,,"{name: '118',value: [116.4672,39.9326,240]},"
119,0,116.0831,39.7163,14,,,,"{name: '119',value: [116.0831,39.7163,14]},"
120,0,116.3931,39.8584,4,,,,"{name: '120',value: [116.3931,39.8584,4]},"
121,0,116.4085,39.8145,16,,,,"{name: '121',value: [116.4085,39.8145,16]},"
122,0,116.6828,39.9118,5,,,,"{name: '122',value: [116.6828,39.9118,5]},"
123,0,116.3918,39.7681,8,,,,"{name: '123',value: [116.3918,39.7681,8]},"
124,0,116.6499,39.8977,9,,,,"{name: '124',value: [116.6499,39.8977,9]},"
125,0,116.3623,39.9612,66,,,,"{name: '125',value: [116.3623,39.9612,66]},"
126,0,116.2765,39.8899,5,,,,"{name: '126',value: [116.2765,39.8899,5]},"
127,0,116.8226,40.3716,34,,,,"{name: '127',value: [116.8226,40.3716,34]},"
128,0,116.515,40.0387,6,,,,"{name: '128',value: [116.515,40.0387,6]},"
129,0,116.5386,39.799,4,,,,"{name: '129',value: [116.5386,39.799,4]},"
130,0,116.6247,40.152,12,,,,"{name: '130',value: [116.6247,40.152,12]},"
131,0,116.3946,39.9289,16,,,,"{name: '131',value: [116.3946,39.9289,16]},"
132,0,116.3578,39.9347,18,,,,"{name: '132',value: [116.3578,39.9347,18]},"
133,0,116.5751,39.9288,26,,,,"{name: '133',value: [116.5751,39.9288,26]},"
134,0,116.6646,39.9079,6,,,,"{name: '134',value: [116.6646,39.9079,6]},"
135,0,116.5975,40.0643,9,,,,"{name: '135',value: [116.5975,40.0643,9]},"
